49. Danh mục ngành/ chuyên ngành/ chuyên môn được đào tạo
Mã|Tên
049.07850195|Quản lý tổng hợp tài nguyên nước
049.07850196|Quản lý tài nguyên khoáng sản
049.07850197|Quản lý tài nguyên và môi trường biển đảo
049.07850198|Quản lý tài nguyên nước
049.07850199|Quản lý biển
049.07850201|Bảo hộ lao động
049.07850202|An toàn, Vệ sinh lao động
049.07859002|Tài nguyên và du lịch sinh thái
049.07859003|Môi trường, Sức khỏe và An toàn
049.07859007|Cảnh quan và kỹ thuật hoa viên
049.07860101|Trinh sát an ninh
049.07860102|Trinh sát cảnh sát
049.07860103|Trinh sát kỹ thuật
049.07860104|Điều tra hình sự
049.07860107|Kỹ thuật Công an nhân dân
049.07860108|Kỹ thuật hình sự
049.07860109|Quản lý nhà nước về an ninh trật tự
049.07860110|Quản lý trật tự an toàn giao thông
049.07860111|Thi hành án hình sự và hỗ trợ tư pháp
049.07860112|Tham mưu, chỉ huy công an nhân dân
049.07860113|Phòng cháy chữa cháy và cứu nạn cứu hộ
049.07860114|An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao
049.07860116|Hậu cần công an nhân dân
049.07860117|Tình báo an ninh
049.07860201|Chỉ huy tham mưu Lục quân
049.07860202|Chỉ huy tham mưu Hải quân
049.07860203|Chỉ huy tham mưu Không quân
049.07860204|Chỉ huy tham mưu Phòng không
049.07860205|Chỉ huy tham mưu Pháo binh
049.07860206|Chỉ huy tham mưu Tăng - thiết giáp
049.07860207|Chỉ huy tham mưu Đặc công
049.07860214|Biên phòng
049.07860215|Chỉ huy tham mưu tác chiến không gian mạng
049.07860217|Tình báo quân sự
049.07860218|Hậu cần quân sự
049.07860219|Chỉ huy, tham mưu thông tin
049.07860220|Chỉ huy, quản lý kỹ thuật
049.07860222|Quân sự cơ sở
049.07860226|Chỉ huy kỹ thuật Phòng không
049.07860227|Chỉ huy kỹ thuật Tăng - thiết giáp
049.07860228|Chỉ huy kỹ thuật Công binh
049.07860229|Chỉ huy kỹ thuật Hoá học
049.07860231|Trinh sát kỹ thuật
049.07860232|Chỉ huy kỹ thuật Hải quân
049.07860233|Chỉ huy kỹ thuật tác chiến điện tử
049.07900101|Quản trị doanh nghiệp và công nghệ
049.07900102|Marketing và truyền thông
049.07900103|Quản trị nhân lực và nhân tài
049.07900104|Kinh tế tài chính
049.07900189|Quản trị và An ninh
049.07900204|Quản trị đô thị thông minh và bền vững
049.07900205|Quản trị tài nguyên di sản
049.07903124|Kinh tế - Tài chính
049.07904492|Khoa học & Quản lý môi trường (CTTT)
049.07905419|Công nghệ thực phẩm (CTTT)
049.07906425|Kinh tế nông nghiệp (CTTT)
049.07908532|Quản lý tài nguyên thiên nhiên
049.08140101|Giáo dục học
049.08140108|Giáo dục và Phát triển cộng đồng
049.08140110|Lý luận và phương pháp dạy học
049.08140111|Lý luận và phương pháp dạy học bộ môn
049.08140112|Quản trị trường học
049.08140113|Giáo dục và Phát triển cộng đồng
049.08140114|Quản lý giáo dục
049.08140115|Đo lường và đánh giá trong giáo dục
049.08140116|Thiết kế phương tiện giáo dục, giảng dạy
049.08140117|Giáo dục quốc tế và so sánh
049.08140118|Giáo dục đặc biệt
049.08140119|Sư phạm Kỹ thuật Điện
049.08140120|Sư phạm Kỹ thuật Ô tô
049.08140121|Quản trị trường phổ thông
049.08140202|Lý luận và phương pháp dạy học âm nhạc
049.08210101|Lý luận và lịch sử mỹ thuật
049.08210102|Mỹ thuật tạo hình
049.08210201|Âm nhạc học
049.08210202|Nghệ thuật âm nhạc
049.08210206|Quản lý nghệ thuật
049.08210210|Biểu diễn nhạc cụ truyền thống
049.08210221|Lý luận và lịch sử sân khấu
049.08210222|Nghệ thuật sân khấu
049.08210231|Lý luận và lịch sử điện ảnh, truyền hình
049.08210232|Nghệ thuật điện ảnh, truyền hình
049.08210401|Lý luận và lịch sử mỹ thuật ứng dụng
049.08210402|Thiết kế công nghiệp
049.08210403|Thiết kế đồ họa
049.08210404|Thiết kế thời trang
049.08210406|Thiết kế mỹ thuật sân khấu, điện ảnh
049.08210410|Mỹ thuật ứng dụng
049.08220102|Ngôn ngữ Việt Nam
049.08220104|Hán Nôm
049.08220109|Ngôn ngữ các dân tộc thiểu số Việt Nam
049.08220120|Lý luận văn học
049.08220121|Văn học Việt Nam
049.08220125|Văn học dân gian
049.08220201|Ngôn ngữ Anh
049.08220202|Ngôn ngữ Nga
049.08220203|Ngôn ngữ Pháp
049.08220204|Ngôn ngữ Trung Quốc
049.08220205|Ngôn ngữ Đức
049.08220209|Ngôn ngữ Nhật
049.08220210|Ngôn ngữ Hàn Quốc
049.08220241|Ngôn ngữ học so sánh, đối chiếu
049.08220242|Văn học nước ngoài
049.08222024|Ngôn ngữ học so sánh, đối chiếu
049.08229001|Triết học
049.08229008|Chủ nghĩa xã hội khoa học
049.08229009|Tôn giáo học
049.08229011|Lịch sử thế giới
049.08229012|Lịch sử phong trào cộng sản, công nhân quốc tế và giải phóng dân tộc
049.08229013|Lịch sử Việt Nam
049.08229015|Lịch sử Đảng Cộng sản Việt Nam
049.08229017|Khảo cổ học
049.08229020|Ngôn ngữ học
049.08229030|Văn học
049.08229031|Văn học so sánh
049.08229040|Văn hoá học
049.08229041|Văn hoá dân gian
049.08229042|Quản lý văn hoá
049.08229043|Văn hóa so sánh
049.08229047|Di sản học
049.08310101|Kinh tế học
049.08310102|Kinh tế chính trị
049.08310104|Kinh tế đầu tư
049.08310105|Kinh tế phát triển
049.08310106|Kinh tế quốc tế
049.08310107|Thống kê kinh tế
049.08310108|Toán kinh tế
049.08310110|Quản lý kinh tế
049.08310201|Chính trị học
049.08310202|Xây dựng Đảng và Chính quyền nhà nước
049.08310204|Hồ Chí Minh học
049.08310205|Quản lý nhà nước
049.08310206|Quan hệ quốc tế
049.08310301|Xã hội học
049.08310302|Nhân học
049.08310310|Dân tộc học
049.08310313|Phát triển bền vững
049.08310315|Phát triển con người
049.08310317|Quyền con người
049.08310401|Tâm lý học
049.08310402|Tâm lý học lâm sàng
049.08310403|Tham vấn học đường
049.08310501|Địa lý học
049.08310601|Quốc tế học
049.08310602|Châu Á học
049.08310608|Đông phương học
049.08310612|Trung Quốc học
049.08310613|Nhật Bản học
049.08310614|Hàn Quốc học
049.08310620|Đông Nam Á học
049.08310630|Việt Nam học
049.08319043|Văn hóa so sánh
049.08320101|Báo chí học
049.08320105|Truyền thông đại chúng
049.08320107|Truyền thông quốc tế
049.08320108|Quan hệ công chúng
049.08320202|Thông tin học
049.08320203|Khoa học thư viện
049.08320303|Lưu trữ học
049.08320305|Bảo tàng học
049.08320401|Xuất bản
049.08340101|Quản trị kinh doanh
049.08340115|Marketing
049.08340120|Kinh doanh quốc tế
049.08340121|Kinh doanh thương mại
049.08340122|Thương mại điện tử
049.08340130|Quản trị bệnh viện
049.08340201|Tài chính - Ngân hàng
049.08340202|Quản trị tài chính
049.08340204|Bảo hiểm
049.08340205|Công nghệ tài chính
049.08340301|Kế toán
049.08340401|Khoa học quản lý
049.08340402|Chính sách công
049.08340403|Quản lý công
049.08340404|Quản trị nhân lực
049.08340405|Hệ thống thông tin quản lý
049.08340406|Quản trị văn phòng
049.08340408|Lãnh đạo học
049.08340410|Quản lý kinh tế trình độ thạc sĩ
049.08340412|Quản lý khoa học và công nghệ
049.08340417|Quản lý an toàn và sức khỏe nghề nghiệp
049.08340418|Quản lý du lịch bền vững
049.08349010|Quản lý đô thị
049.08380101|Luật
049.08380102|Luật hiến pháp và luật hành chính
049.08380103|Luật dân sự và tố tụng dân sự
049.08380104|Luật hình sự và tố tụng hình sự
049.08380105|Tội phạm học và phòng ngừa tội phạm
049.08380106|Lý luận và lịch sử nhà nước và pháp luật
049.08380107|Luật kinh tế
049.08380108|Luật quốc tế
049.08380109|Pháp luật về quyền con người
049.08380110|Quản trị nhà nước và phòng, chống tham nhũng
049.08420101|Sinh học
049.08420102|Nhân chủng học
049.08420103|Động vật học
049.08420107|Vi sinh vật học
049.08420108|Thuỷ sinh vật học
049.08420111|Thực vật học
049.08420114|Sinh học thực nghiệm
049.08420116|Hoá sinh học
049.08420120|Sinh thái học
049.08420121|Di truyền học
049.08420201|Công nghệ sinh học
049.08440101|Thiên văn học
049.08440102|Vật lý
049.08440103|Vật lý lý thuyết và vật lý toán
049.08440104|Vật lý chất rắn
049.08440105|Vật lý vô tuyến và điện tử
049.08440106|Vật lý nguyên tử và hạt nhân
049.08440107|Cơ học vật rắn
049.08440108|Cơ học chất lỏng và chất khí
049.08440109|Cơ học
049.08440110|Quang học
049.08440111|Vật lý địa cầu
049.08440112|Hoá học
049.08440113|Hoá vô cơ
049.08440114|Hoá hữu cơ
049.08440118|Hoá phân tích
049.08440119|Hoá lý thuyết và hoá lý
049.08440120|Hóa môi trường
049.08440122|Khoa học vật liệu
049.08440201|Địa chất học
049.08440202|Địa tin học
049.08440205|Khoáng vật học và địa hóa học
049.08440210|Địa vật lí
049.08440212|Bản đồ học
049.08440214|Bản đồ, viễn thám và hệ thông tin địa lý
049.08440217|Địa lí tự nhiên
049.08440218|Địa mạo và cổ địa lý
049.08440220|Địa lý tài nguyên và môi trường
049.08440221|Biến đổi khí hậu
049.08440222|Khí tượng và khí hậu học
049.08440224|Thuỷ văn học
049.08440228|Hải dương học
049.08440301|Khoa học môi trường
049.08440302|Quản lý an toàn, sức khỏe và môi trường
049.08440304|Quản lý, an toàn và sức khỏe môi trường
049.08460101|Toán học
049.08460102|Toán giải tích
049.08460103|Phương trình vi phân và tích phân
049.08460104|Đại số và lý thuyết số
049.08460105|Hình học và tôpô
049.08460106|Lý thuyết xác suất và thống kê toán học
049.08460107|Khoa học tính toán
049.08460108|Khoa học dữ liệu
049.08460110|Cơ sở toán học cho tin học
049.08460112|Toán ứng dụng
049.08460113|Phương pháp toán sơ cấp
049.08460117|Toán tin
049.08460201|Thống kê
049.08480101|Khoa học máy tính
049.08480102|Mạng máy tính và truyền thông dữ liệu
049.08480103|Kỹ thuật phần mềm
049.08480104|Hệ thống thông tin
049.08480106|Kỹ thuật máy tính
049.08480107|Trí tuệ nhân tạo
049.08480109|Khoa học dữ liệu
049.08480201|Công nghệ thông tin
049.08480202|An toàn thông tin
049.08480204|Quản lý công nghệ thông tin
049.08480205|Quản lý hệ thống thông tin
049.08480206|Địa tin học
049.08510601|Quản lý công nghiệp
049.08510602|Quản lý năng lượng
049.08510605|Logistics và quản lý chuỗi cung ứng
049.08519001|Công nghệ Y - Dược
049.08520101|Cơ kỹ thuật
049.08520103|Kỹ thuật cơ khí
049.08520114|Kỹ thuật cơ điện tử
049.08520115|Kỹ thuật nhiệt
049.08520116|Kỹ thuật cơ khí động lực
049.08520117|Kỹ thuật công nghiệp
049.08520118|Kỹ thuật hệ thống công nghiệp
049.08520120|Kỹ thuật hàng không
049.08520121|Kỹ thuật không gian
049.08520122|Kỹ thuật tàu thuỷ
049.08520130|Kỹ thuật ô tô
049.08520135|Kỹ thuật năng lượng
049.08520137|Kỹ thuật hàng hải
049.08520138|Kỹ thuật in
049.08520201|Kỹ thuật điện
049.08520203|Kỹ thuật điện tử
049.08520204|Kỹ thuật rađa - dẫn đường
049.08520208|Kỹ thuật viễn thông
049.08520209|Kỹ thuật mật mã
049.08520212|Kỹ thuật y sinh
049.08520216|Kỹ thuật điều khiển và tự động hóa
049.08520301|Kỹ thuật hoá học
049.08520305|Kỹ thuật hóa dầu và lọc dầu
049.08520309|Kỹ thuật vật liệu
049.08520320|Kỹ thuật môi trường
049.08520401|Vật lý kỹ thuật
049.08520402|Kỹ thuật hạt nhân
049.08520501|Kỹ thuật địa chất
049.08520502|Kỹ thuật địa vật lý
049.08520503|Kỹ thuật trắc địa - bản đồ
049.08520602|Kỹ thuật thăm dò và khảo sát
049.08520603|Khai thác mỏ
049.08520604|Kỹ thuật dầu khí
049.08520607|Kỹ thuật tuyển khoáng
049.08520608|Công trình biển
049.08540101|Công nghệ thực phẩm
049.08540104|Công nghệ sau thu hoạch
049.08540105|Công nghệ chế biến thuỷ sản
049.08540106|Đảm bảo chất lượng và an toàn thực phẩm
049.08540203|Công nghệ vật liệu dệt, may
049.08540204|Công nghệ dệt, may
049.08549001|Kỹ thuật chế biến lâm sản
049.08580101|Kiến trúc
049.08580103|Kiến trúc nội thất
049.08580104|Phát triển đô thị bền vững
049.08580105|Quy hoạch vùng và đô thị
049.08580106|Quản lý đô thị và công trình
049.08580112|Đô thị học
049.08580201|Kỹ thuật xây dựng
049.08580202|Kỹ thuật xây dựng công trình thuỷ
049.08580203|Kỹ thuật xây dựng công trình biển
049.08580204|Kỹ thuật xây dựng công trình ngầm
049.08580205|Kỹ thuật xây dựng công trình giao thông
049.08580206|Kỹ thuật xây dựng công trình đặc biệt
049.08580210|Kỹ thuật cơ sở hạ tầng
049.08580211|Địa kỹ thuật xây dựng
049.08580212|Kỹ thuật tài nguyên nước
049.08580213|Kỹ thuật cấp thoát nước
049.08580215|Kỹ thuật an toàn giao thông
049.08580301|Kinh tế xây dựng
049.08580302|Quản lý xây dựng
049.08580408|Thiết kế nội thất
049.08620103|Khoa học đất
049.08620105|Chăn nuôi
049.08620106|Chăn nuôi – thú y
049.08620110|Khoa học cây trồng
049.08620111|Di truyền và chọn giống cây trồng
049.08620112|Bảo vệ thực vật
049.08620115|Kinh tế nông nghiệp
049.08620116|Phát triển nông thôn
049.08620118|Hệ thống nông nghiệp
049.08620120|Sinh thái nông nghiệp
049.08620201|Lâm học
049.08620205|Lâm sinh
049.08620211|Quản lý tài nguyên rừng
049.08620301|Nuôi trồng thuỷ sản
049.08620302|Bệnh học thủy sản
049.08620304|Khai thác thuỷ sản
049.08620305|Quản lý thủy sản
049.08620306|Quản lý tổng hợp vùng ven biển
049.08640101|Thú y
049.08720101|Khoa học y sinh
049.08720102|Gây mê hồi sức
049.08720103|Hồi sức cấp cứu và chống độc
049.08720104|Ngoại khoa
049.08720105|Sản phụ khoa
049.08720106|Nhi khoa
049.08720107|Nội khoa
049.08720108|Ung thư
049.08720109|Bệnh truyền nhiễm và các bệnh nhiệt đới
049.08720110|Y học dự phòng
049.08720111|Điện quang và y học hạt nhân
049.08720113|Dịch tễ học thực địa
049.08720115|Y học cổ truyền
049.08720117|Dịch tễ học
049.08720118|Dược lý và độc chất
049.08720119|Phẫu thuật tạo hình, tái tạo và thẩm mỹ
049.08720155|Tai - Mũi - Họng
049.08720157|Mắt (Nhãn khoa)
049.08720158|Khoa học thần kinh
049.08720159|Khoa học thần kinh
049.08720163|Y học dự phòng
049.08720202|Công nghệ dược phẩm và bào chế thuốc
049.08720203|Hóa dược
049.08720205|Dược lý và dược lâm sàng
049.08720206|Dược liệu - Dược học cổ truyền
049.08720208|Hóa sinh dược
049.08720210|Kiểm nghiệm thuốc và độc chất
049.08720212|Tổ chức quản lý dược
049.08720301|Điều dưỡng
049.08720302|Hộ sinh
049.08720401|Dinh dưỡng
049.08720412|Tổ chức quản lý dược
049.08720501|Răng - Hàm - Mặt
049.08720601|Kỹ thuật xét nghiệm y học
049.08720602|Kỹ thuật hình ảnh y học
049.08720603|Kỹ thuật phục hồi chức năng
049.08720701|Y tế công cộng
049.08720801|Quản lý Y tế
049.08720802|Quản lý bệnh viện
049.08729001|Y học gia đình
049.08729002|Giáo dục y học
049.08729003|Y học Quân sự
049.08729004|Y học biển
049.08760101|Công tác xã hội
049.08760102|Giáo dục và phát triển cộng đồng
049.08760103|Hỗ trợ giáo dục người khuyết tật
049.08810101|Du lịch
049.08810102|Quản trị khách sạn
049.08810103|Quản trị dịch vụ du lịch và lữ hành
049.08810104|Quản trị khách sạn - Nhà hàng và Dịch vụ ăn uống
049.08810106|Du lịch văn hóa
049.08810201|Quản trị khách sạn
049.08810202|Quản trị nhà hàng và dịch vụ ăn uống
049.08810301|Quản lý thể dục thể thao
049.08810302|Huấn luyện thể thao
049.08840103|Tổ chức và quản lý vận tải
049.08840106|Khoa học hàng hải
049.08850101|Quản lý tài nguyên và môi trường
049.08850102|Kinh tế tài nguyên
049.08850103|Quản lý đất đai
049.08850104|Quản lý biển đảo và đới bờ
049.08850105|Quản lý an toàn, sức khỏe và môi trường
049.08860101|Trinh sát an ninh
049.08860102|Trinh sát cảnh sát
049.08860103|Trinh sát kỹ thuật
049.08860104|Điều tra hình sự
049.08860107|Kỹ thuật Công an nhân dân
049.08860108|Kỹ thuật hình sự
049.08860109|Quản lý nhà nước về an ninh trật tự
049.08860110|Quản lý trật tự an toàn giao thông
049.08860111|Thi hành án hình sự và hỗ trợ tư pháp
049.08860112|Tham mưu, chỉ huy công an nhân dân
049.08860113|Phòng cháy chữa cháy và cứu nạn cứu hộ
049.08860114|An ninh mạng và phòng chống tội phạm sử dụng công nghệ cao
049.08860116|Hậu cần công an nhân dân
049.08860117|Tình báo an ninh
049.08860118|An ninh phi truyền thống
049.08860208|Nghệ thuật quân sự
049.08860209|Lịch sử nghệ thuật quân sự
049.08860210|Chiến lược quân sự
049.08860211|Chiến lược quốc phòng
049.08860212|Nghệ thuật chiến dịch
049.08860213|Chiến thuật
049.08860215|Biên phòng
049.08860216|Quản lý biên giới và cửa khẩu
049.08860217|Tình báo quân sự
049.08860218|Hậu cần quân sự
049.08860220|Chỉ huy, quản lý kỹ thuật
049.08860221|Trinh sát quân sự
049.08900103|Bảo hộ lao động
049.08900201|Quản trị An ninh phi truyền thống
049.08900202|Biến đổi khí hậu
049.08900203|Khoa học bền vững
049.08900204|Quản lý phát triển đô thị
049.08900205|Di sản học
049.08900301|Quản trị công nghệ và phát triển doanh nghiệp
049.09140101|Giáo dục học
049.09140102|Lý luận và lịch sử giáo dục
049.09140110|Lý luận và phương pháp dạy học
049.09140111|Lý luận và phương pháp dạy học bộ môn
049.09140114|Quản lý giáo dục
049.09140115|Đo lường và đánh giá trong giáo dục
049.09140116|Thiết kế phương tiện giáo dục, giảng dạy
049.09140117|Giáo dục quốc tế và so sánh
049.09140118|Giáo dục đặc biệt
049.09210101|Lý luận và lịch sử mỹ thuật
049.09210102|Mỹ thuật tạo hình
049.09210201|Âm nhạc học
049.09210206|Quản lý nghệ thuật
049.09210221|Lý luận và lịch sử sân khấu
049.09210231|Lý luận và lịch sử điện ảnh, truyền hình
049.09220102|Ngôn ngữ Việt Nam
049.09220104|Hán Nôm
049.09220109|Ngôn ngữ các dân tộc thiểu số Việt Nam
049.09220120|Lý luận văn học
049.09220121|Văn học Việt Nam
049.09220125|Văn học dân gian
049.09220201|Ngôn ngữ Anh
049.09220202|Ngôn ngữ Nga
049.09220203|Ngôn ngữ Pháp
049.09220204|Ngôn ngữ Trung Quốc
049.09220205|Ngôn ngữ Đức
049.09220209|Ngôn ngữ Nhật
049.09220210|Ngôn ngữ Hàn Quốc
049.09220241|Ngôn ngữ học so sánh, đối chiếu
049.09220242|Văn học nước ngoài
049.09222024|Ngôn ngữ học so sánh, đối chiếu
049.09229001|Triết học
049.09229002|Chủ nghĩa duy vật biện chứng và duy vật lịch sử
049.09229004|Logic học
049.09229006|Đạo đức học
049.09229007|Mỹ học
049.09229008|Chủ nghĩa xã hội khoa học
049.09229009|Tôn giáo học
049.09229011|Lịch sử thế giới
049.09229012|Lịch sử phong trào cộng sản, công nhân quốc tế và giải phóng dân tộc
049.09229013|Lịch sử Việt Nam
049.09229015|Lịch sử Đảng Cộng sản Việt Nam
049.09229017|Khảo cổ học
049.09229020|Ngôn ngữ học
049.09229030|Văn học
049.09229040|Văn hoá học
049.09229041|Văn hoá dân gian
049.09229042|Quản lý văn hoá
049.09229047|Di sản học
049.09310101|Kinh tế học
049.09310102|Kinh tế chính trị
049.09310104|Kinh tế đầu tư
049.09310105|Kinh tế phát triển
049.09310106|Kinh tế quốc tế
049.09310107|Thống kê kinh tế
049.09310108|Toán kinh tế
049.09310109|Kinh tế và quản lý tài nguyên biển
049.09310110|Quản lý kinh tế
049.09310116|Kinh tế và Quản lý
049.09310201|Chính trị học
049.09310202|Xây dựng Đảng và Chính quyền nhà nước
049.09310204|Hồ Chí Minh học
049.09310206|Quan hệ quốc tế
049.09310301|Xã hội học
049.09310302|Nhân học
049.09310310|Dân tộc học
049.09310401|Tâm lý học
049.09310501|Địa lý học
049.09310601|Quốc tế học
049.09310608|Đông phương học
049.09310612|Trung Quốc học
049.09310613|Nhật Bản học
049.09310620|Đông Nam Á học
049.09310630|Việt Nam học
049.09319042|Quản lý văn hóa
049.09320101|Báo chí học
049.09320105|Truyền thông đại chúng
049.09320108|Quan hệ công chúng
049.09320202|Thông tin học
049.09320203|Khoa học thư viện
049.09320303|Lưu trữ học
049.09320305|Bảo tàng học
049.09320401|Xuất bản
049.09340101|Quản trị kinh doanh
049.09340121|Kinh doanh thương mại
049.09340201|Tài chính - Ngân hàng
049.09340204|Bảo hiểm
049.09340301|Kế toán
049.09340401|Khoa học quản lý
049.09340402|Chính sách công
049.09340403|Quản lý công
049.09340404|Quản trị nhân lực
049.09340405|Hệ thống thông tin quản lý
049.09340407|Quản trị và phát triển bền vững
049.09340410|Quản lý kinh tế
049.09340412|Quản lý khoa học và công nghệ
049.09380101|Luật
049.09380102|Luật hiến pháp và luật hành chính
049.09380103|Luật dân sự và tố tụng dân sự
049.09380104|Luật hình sự và tố tụng hình sự
049.09380105|Tội phạm học và phòng ngừa tội phạm
049.09380106|Lý luận và lịch sử nhà nước và pháp luật
049.09380107|Luật kinh tế
049.09380108|Luật quốc tế
049.09389001|Pháp luật về quyền con người
049.09420101|Sinh học
049.09420102|Nhân chủng học
049.09420103|Động vật học
049.09420104|Sinh lý học người và động vật
049.09420105|Ký sinh trùng học
049.09420106|Côn trùng học
049.09420107|Vi sinh vật học
049.09420108|Thuỷ sinh vật học
049.09420111|Thực vật học
049.09420112|Sinh lý học thực vật
049.09420113|Tuyến trùng học
049.09420115|Lý sinh học
049.09420116|Hoá sinh học
049.09420120|Sinh thái học
049.09420121|Di truyền học
049.09420201|Công nghệ sinh học
049.09440101|Thiên văn học
049.09440103|Vật lý lý thuyết và vật lý toán
049.09440104|Vật lý chất rắn
049.09440105|Vật lý vô tuyến và điện tử
049.09440106|Vật lý nguyên tử và hạt nhân
049.09440107|Cơ học vật rắn
049.09440108|Cơ học chất lỏng và chất khí
049.09440109|Cơ học
049.09440110|Quang học
049.09440111|Vật lý địa cầu
049.09440112|Hoá học
049.09440113|Hoá vô cơ
049.09440114|Hoá hữu cơ
049.09440117|Hoá học các hợp chất thiên nhiên
049.09440118|Hoá phân tích
049.09440119|Hoá lý thuyết và hoá lý
049.09440120|Hóa môi trường
049.09440122|Khoa học vật liệu
049.09440123|Vật liệu điện tử
049.09440125|Vật liệu cao phân tử và tổ hợp
049.09440127|Vật liệu quang học, quang điện tử và quang tử
049.09440129|Kim loại học
049.09440201|Địa chất học
049.09440205|Khoáng vật học và địa hóa học
049.09440210|Địa vật lí
049.09440212|Bản đồ học
049.09440214|Bản đồ, viễn thám và hệ thông tin địa lý
049.09440217|Địa lí tự nhiên
049.09440218|Địa mạo và cổ địa lý
049.09440220|Địa lý tài nguyên và môi trường
049.09440221|Biến đổi khí hậu
049.09440222|Khí tượng và khí hậu học
049.09440224|Thuỷ văn học
049.09440228|Hải dương học
049.09440301|Khoa học môi trường
049.09440303|Môi trường đất và nước
049.09440305|Độc học môi trường
049.09440306|Bảo tồn thiên nhiên, môi trường và phát triển bền vững
049.09460101|Toán học
049.09460102|Toán giải tích
049.09460103|Phương trình vi phân và tích phân
049.09460104|Đại số và lý thuyết số
049.09460105|Hình học và tôpô
049.09460106|Lý thuyết xác suất và thống kê toán học
049.09460107|Khoa học tính toán
049.09460110|Cơ sở toán học cho tin học
049.09460112|Toán ứng dụng
049.09460117|Toán tin
049.09460201|Thống kê
049.09480101|Khoa học máy tính
049.09480102|Mạng máy tính và truyền thông dữ liệu
049.09480103|Kỹ thuật phần mềm
049.09480104|Hệ thống thông tin
049.09480106|Kỹ thuật máy tính
049.09480107|Trí tuệ nhân tạo
049.09480111|Tin học và Kỹ thuật máy tính
049.09480201|Công nghệ thông tin
049.09480202|An toàn thông tin
049.09510601|Quản lý công nghiệp
049.09510602|Quản lý Năng lượng
049.09510605|Logistics và quản lý chuỗi cung ứng
049.09519001|Công nghệ Y - Dược
049.09520101|Cơ kỹ thuật
049.09520103|Kỹ thuật cơ khí
049.09520114|Kỹ thuật cơ điện tử
049.09520115|Kỹ thuật nhiệt
049.09520116|Kỹ thuật cơ khí động lực
049.09520118|Kỹ thuật hệ thống công nghiệp
049.09520121|Kỹ thuật không gian
049.09520122|Kỹ thuật tàu thuỷ
049.09520130|Kỹ thuật ô tô
049.09520135|Kỹ thuật năng lượng
049.09520137|Kỹ thuật in
049.09520138|Kỹ thuật hàng hải
049.09520201|Kỹ thuật điện
049.09520203|Kỹ thuật điện tử
049.09520204|Kỹ thuật rađa - dẫn đường
049.09520208|Kỹ thuật viễn thông
049.09520209|Kỹ thuật mật mã
049.09520212|Kỹ thuật y sinh
049.09520216|Kỹ thuật điều khiển và tự động hóa
049.09520301|Kỹ thuật hoá học
049.09520305|Kỹ thuật hóa dầu và lọc dầu
049.09520309|Kỹ thuật vật liệu
049.09520320|Kỹ thuật môi trường
049.09520401|Vật lý kỹ thuật
049.09520402|Kỹ thuật hạt nhân
049.09520501|Kỹ thuật địa chất
049.09520502|Kỹ thuật địa vật lý
049.09520503|Kỹ thuật trắc địa - bản đồ
049.09520602|Kỹ thuật thăm dò và khảo sát
049.09520603|Khai thác mỏ
049.09520604|Kỹ thuật dầu khí
049.09520607|Kỹ thuật tuyển khoáng
049.09540101|Công nghệ thực phẩm
049.09540104|Công nghệ sau thu hoạch
049.09540105|Công nghệ chế biến thuỷ sản
049.09540203|Công nghệ vật liệu dệt, may
049.09540204|Công nghệ dệt, may
049.09549001|Kỹ thuật chế biến lâm sản
049.09580101|Kiến trúc
049.09580105|Quy hoạch vùng và đô thị
049.09580106|Quản lý đô thị và công trình
049.09580201|Kỹ thuật xây dựng
049.09580202|Kỹ thuật xây dựng công trình thuỷ
049.09580203|Kỹ thuật xây dựng công trình biển
049.09580204|Kỹ thuật xây dựng công trình ngầm
049.09580205|Kỹ thuật xây dựng công trình giao thông
049.09580206|Kỹ thuật xây dựng công trình đặc biệt
049.09580210|Kỹ thuật cơ sở hạ tầng
049.09580211|Địa kỹ thuật xây dựng
049.09580212|Kỹ thuật tài nguyên nước
049.09580213|Kỹ thuật cấp thoát nước
049.09580302|Quản lý xây dựng
049.09620103|Khoa học đất
049.09620105|Chăn nuôi
049.09620107|Dinh dưỡng và thức ăn chăn nuôi
049.09620108|Di truyền và chọn giống vật nuôi
049.09620110|Khoa học cây trồng
049.09620111|Di truyền và chọn giống cây trồng
049.09620112|Bảo vệ thực vật
049.09620115|Kinh tế nông nghiệp
049.09620116|Phát triển nông thôn
049.09620125|Nông nghiệp hữu cơ
049.09620205|Lâm sinh
049.09620207|Di truyền và chọn giống cây lâm nghiệp
049.09620208|Điều tra và quy hoạch rừng
049.09620211|Quản lý tài nguyên rừng
049.09620301|Nuôi trồng thuỷ sản
049.09620302|Bệnh học thủy sản
049.09620304|Khai thác thuỷ sản
049.09620305|Quản lý thủy sản
049.09640101|Thú y
049.09640102|Bệnh lý học và chữa bệnh vật nuôi
049.09640104|Ký sinh trùng và vi sinh vật học thú y
049.09640106|Sinh sản và bệnh sinh sản gia súc
049.09640108|Dịch tễ học thú y
049.09720101|Khoa học y sinh
049.09720102|Gây mê hồi sức
049.09720103|Hồi sức cấp cứu và chống độc
049.09720104|Ngoại khoa
049.09720105|Sản phụ khoa
049.09720106|Nhi khoa
049.09720107|Nội khoa
049.09720108|Ung thư
049.09720109|Bệnh truyền nhiễm và các bệnh nhiệt đới
049.09720110|Y học dự phòng
049.09720111|Điện quang và y học hạt nhân
