49. Danh mục ngành/ chuyên ngành/ chuyên môn được đào tạo
Mã|Tên
049.06520214|Kỹ thuật thiết bị viễn thông và nghi khí hàng hải
049.06520217|Kỹ thuật mạng ngoại vi và thiết bị dầu cuối
049.06520218|Kỹ thuật đài trạm viễn thông
049.06520219|Kỹ thuật lắp đặt đài trạm viễn thông
049.06520220|Kỹ thuật truyền hình cáp
049.06520221|Kỹ thuật truyền dẫn quang và vô tuyến
049.06520224|Điện tử dân dụng
049.06520225|Điện tử công nghiệp
049.06520226|Điện dân dụng
049.06520227|Điện công nghiệp
049.06520228|Điện tàu thủy
049.06520229|Điện đầu máy đường sắt
049.06520231|Sửa chữa điện máy mỏ
049.06520232|Sửa chữa điện máy công trình
049.06520233|Sửa chữa, lắp đặt thiết bị điện xi măng
049.06520234|Sửa chữa đường dây tải điện đang vận hành
049.06520235|Sửa chữa thiết bị tự động hóa
049.06520237|Sửa chữa đồng hồ đo điện, nhiệt, áp lực
049.06520238|Sửa chữa thiết bị đo lường trọng lượng
049.06520239|Lắp đặt điện công trình
049.06520240|Lắp đặt thiết bị điện
049.06520241|Lắp đặt, sửa chữa hệ thống truyền dẫn điện đường sắt
049.06520243|Lắp đặt đường dây tải điện và trạm biến áp có điện áp từ 220 KV trở lên
049.06520244|Lắp đặt đường dây tải điện và trạm biến áp có điện áp từ 110 KV trở xuống
049.06520245|Vận hành điện trong nhà máy điện
049.06520246|Vận hành nhà máy thủy điện
049.06520248|Vận hành và sửa chữa trạm thủy điện
049.06520249|Vận hành và sửa chữa trạm bơm điện
049.06520250|Vận hành trạm, mạng điện
049.06520251|Vận hành điện trong nhà máy thủy điện
049.06520252|Vận hành thiết bị điện và đo lường điều khiển trên tàu thủy
049.06520253|Vận hành tổ máy phát điện Diesel
049.06520254|Vận hành nhà máy điện hạt nhân
049.06520255|Vận hành, sửa chữa thiết bị lạnh
049.06520256|Quản lý vận hành, sửa chữa đường dây và trạm biến áp có điện áp
049.06520258|Điều độ lưới điện phân phối
049.06520259|Đo lường điện
049.06520260|Thí nghiệm điện
049.06520261|Cơ điện lạnh thủy sản
049.06520262|Cơ điện nông thôn
049.06520263|Cơ điện tử
049.06520264|Tự động hóa công nghiệp
049.06520267|Hệ thống điện đường sắt đô thị
049.06520268|Khai thác thiết bị dẫn đường vô tuyến mặt đất hàng không
049.06520269|Bảo trì thiết bị điện trong nhà máy điện hạt nhân
049.06520301|Luyện gang
049.06520302|Luyện thép
049.06520304|Luyện kim màu
049.06520305|Luyện Ferro hợp kim
049.06520307|Xử lý chất thải trong công nghiệp đóng tàu
049.06520308|Xử lý chất thải trong sản xuất thép
049.06520309|Xử lý nước thải công nghiệp
049.06520310|Xử lý chất thải trong sản xuất cao su
049.06520311|Kỹ thuật thoát nước và xử lý nước thải
049.06520312|Cấp thoát nước
049.06529001|Kỹ thuật lò hơi
049.06529002|Kỹ thuật tua bin
049.06529005|Kỹ thuật thiết bị hình ảnh y tế
049.06529006|Kỹ thuật thiết bị điện tử y tế
049.06529007|Kỹ thuật thiết bị xét nghiệm y tế
049.06529008|Kỹ thuật thiết bị cơ điện y tế
049.06529009|Kỹ thuật thiết bị sản xuất Dược
049.06529010|Lắp đặt, vận hành và sửa chữa bơm, quạt, máy nén khí
049.06529011|Lắp ráp và thử nghiệm lò hơi, tua bin
049.06529012|Lặn trục vớt
049.06529013|Lặn nghiên cứu khảo sát
049.06529015|Lặn thi công
049.06540102|Chế biến lương thực
049.06540104|Chế biến thực phẩm
049.06540105|Chế biến dầu thực vật
049.06540106|Chế biến rau quả
049.06540112|Sản xuất bánh, kẹo
049.06540117|Sản xuất cồn
049.06540118|Sản xuất rượu bia
049.06540119|Sản xuất nước giải khát
049.06540124|Công nghệ chế biến chè
049.06540125|Chế biến cà phê, ca cao
049.06540126|Chế biến thuốc lá
049.06540201|Công nghệ sợi
049.06540202|Công nghệ dệt
049.06540203|Công nghệ may
049.06540204|May thời trang
049.06540206|Công nghệ may Veston
049.06540211|Thuộc da
049.06540212|Sản xuất hàng da, giầy
049.06540301|Công nghệ chế bản điện tử
049.06580204|Kỹ thuật thi công lắp dựng kính xây dựng
049.06580205|Xây dựng cầu đường bộ
049.06580210|Mộc xây dựng và trang trí nội thất
049.06620105|Chế biến nông lâm sản
049.06620111|Trồng cây lương thực, thực phẩm
049.06620113|Trồng cây công nghiệp
049.06620114|Trồng cây ăn quả
049.06620116|Chăn nuôi gia súc, gia cầm
049.06620117|Chăn nuôi và chế biến thịt Bò
049.06620121|Khuyến nông lâm
049.06620122|Kỹ thuật dâu tằm tơ
049.06620123|Chọn và nhân giống cây trồng
049.06620124|Kỹ thuật rau, hoa công nghệ cao
049.06620129|Quản lý và kinh doanh nông nghiệp
049.06620203|Làm vườn - cây cảnh
049.06620204|Kỹ thuật cây cao su
049.06620205|Sinh vật cảnh
049.06620208|Kiểm lâm
049.06620301|Chế biến và bảo quản thủy sản
049.06620303|Nuôi trồng thủy sản nước ngọt
049.06620304|Nuôi trồng thủy sản nước mặn, nước lợ
049.06620305|Khai thác, đánh bắt hải sản
049.06620309|Phòng và chữa bệnh thủy sản
049.06620311|Kiểm ngư
049.06640201|Dịch vụ thú y
049.06640301|Sản xuất thuốc thú y
049.06640302|Sản xuất thuốc thủy y
049.06720202|Điều dưỡng y học cổ truyền
049.06720302|Y sỹ đa khoa
049.06720305|Kỹ thuật hình ảnh y học
049.06720306|Kỹ thuật xét nghiệm y tế
049.06720307|Kỹ thuật vật lý trị liệu và phục hồi chức năng
049.06720401|Dược sĩ cao đẳng
049.06720402|Kỹ thuật dược
049.06720403|Kỹ thuật kiểm nghiệm thuốc
049.06760203|Dịch vụ chăm sóc gia đình
049.06810103|Hướng dẫn du lịch
049.06810104|Quản trị lữ hành
049.06810105|Quản trị du lịch MICE
049.06810106|Quản trị dịch vụ giải trí, thể thao
049.06810107|Điều hành tour du lịch
049.06810202|Quản trị khu Resort
049.06810203|Quản trị lễ tân
049.06810204|Quản trị buồng phòng
049.06810206|Quản trị nhà hàng
049.06810207|Kỹ thuật chế biến món ăn
049.06810209|Kỹ thuật pha chế đồ uống
049.06810210|Kỹ thuật làm bánh
049.06810404|Chăm sóc sắc đẹp
049.06840101|Quản trị kinh doanh vận tải biển
049.06840102|Khai thác vận tải
049.06840109|Điều khiển phương tiện thủy nội địa
049.06840110|Điều khiển tàu biển
049.06840111|Khai thác máy tàu biển
049.06840112|Khai thác máy tàu thủy
049.06840113|Vận hành khai thác máy tàu
049.06840116|Vận hành thiết bị xếp dỡ hàng hóa hàng hải
049.06840117|Xếp dỡ cơ giới tổng hợp
049.06840120|Lái tàu bay dân dụng
049.06840121|Điều hành bay
049.06840122|Kiểm soát không lưu
049.06840123|Thông tin tín hiệu đường sắt
049.06840125|Lái tàu đường sắt
049.06840126|Điều hành chạy tàu hỏa
049.06840127|Lái xe chuyên dụng
049.06840128|Lái tàu điện
049.06840129|Điều hành đường sắt đô thị
049.06840130|Vận tải hành khách, hàng hóa đường sắt
049.06840202|Kinh doanh thiết bị viễn thông tin học
049.06840203|Kinh doanh dịch vụ Bưu chính Viễn thông
049.06850104|Bảo vệ môi trường đô thị
049.06850105|Bảo vệ môi trường công nghiệp
049.06850106|Bảo vệ môi trường biển
049.06850109|Xử lý dầu tràn trên biển
049.06850110|Xử lý rác thải
049.06869001|Vệ sỹ
049.06869002|Bảo vệ
049.07140101|Giáo dục học
049.07140102|Khoa học giáo dục
049.07140103|Công nghệ giáo dục
049.07140107|Quản trị chất lượng giáo dục
049.07140114|Quản lý giáo dục
049.07140115|Công nghệ giáo dục
049.07140116|Quản trị công nghệ giáo dục
049.07140117|Quản trị trường học
049.07140201|Giáo dục mầm non (Đại học)
049.07140202|Giáo dục tiểu học
049.07140203|Giáo dục đặc biệt
049.07140204|Giáo dục công dân
049.07140205|Giáo dục chính trị
049.07140206|Giáo dục thể chất
049.07140207|Huấn luyện thể thao
049.07140208|Giáo dục quốc phòng - an ninh
049.07140209|Sư phạm Toán học
049.07140210|Sư phạm Tin học
049.07140211|Sư phạm Vật lý
049.07140212|Sư phạm Hoá học
049.07140213|Sư phạm Sinh học
049.07140214|Sư phạm Kỹ thuật công nghiệp
049.07140217|Sư phạm Ngữ văn
049.07140218|Sư phạm Lịch sử
049.07140219|Sư phạm Địa lý
049.07140221|Sư phạm Âm nhạc
049.07140222|Sư phạm Mỹ thuật
049.07140223|Sư phạm Tiếng Bana
049.07140224|Sư phạm Tiếng Êđê
049.07140225|Sư phạm Tiếng Jrai
049.07140226|Sư phạm Tiếng Khmer
049.07140227|Sư phạm Tiếng H`mong
049.07140228|Sư phạm Tiếng Chăm
049.07140229|Sư phạm Tiếng M`nông
049.07140230|Sư phạm Tiếng Xê đăng
049.07140231|Sư phạm Tiếng Anh
049.07140232|Sư phạm Tiếng Nga
049.07140233|Sư phạm Tiếng Pháp
049.07140234|Sư phạm Tiếng Trung Quốc
049.07140235|Sư phạm Tiếng Đức
049.07140236|Sư phạm Tiếng Nhật
049.07140237|Sư phạm Tiếng Hàn Quốc
049.07140245|Sư phạm Nghệ thuật
049.07140246|Sư phạm Công nghệ
049.07140247|Sư phạm Khoa học tự nhiên
049.07140248|Giáo dục pháp luật
049.07140249|Sư phạm Lịch sử - Địa lí
049.07140250|Sư phạm Tin học và Công nghệ tiểu học
049.07149001|Kinh tế giáo dục
049.07149002|Quản trị nhà trường
049.07210101|Lý luận, lịch sử và phê bình mỹ thuật
049.07210103|Hội hoạ
049.07210104|Đồ hoạ
049.07210105|Điêu khắc
049.07210107|Gốm
049.07210110|Mỹ thuật đô thị
049.07210201|Âm nhạc học
049.07210203|Sáng tác âm nhạc
049.07210204|Chỉ huy âm nhạc
049.07210205|Thanh nhạc
049.07210206|Quản lý nghệ thuật
049.07210207|Biểu diễn nhạc cụ phương tây
049.07210208|Piano
049.07210209|Nhạc Jazz
049.07210210|Biểu diễn nhạc cụ truyền thống
049.07210212|Công nghệ âm nhạc
049.07210213|Nghệ thuật học
049.07210215|Quản lý âm nhạc
049.07210221|Lý luận, lịch sử và phê bình sân khấu
049.07210225|Biên kịch sân khấu
049.07210226|Diễn viên sân khấu kịch hát
049.07210227|Đạo diễn sân khấu
049.07210231|Lý luận, lịch sử và phê bình điện ảnh, truyền hình
049.07210233|Biên kịch điện ảnh, truyền hình
049.07210234|Diễn viên kịch, điện ảnh - truyền hình
049.07210235|Đạo diễn điện ảnh, truyền hình
049.07210236|Quay phim
049.07210241|Lý luận, lịch sử và phê bình múa
049.07210242|Diễn viên múa
049.07210243|Biên đạo múa
049.07210244|Huấn luyện múa
049.07210301|Nhiếp ảnh
049.07210302|Công nghệ điện ảnh, truyền hình
049.07210303|Thiết kế âm thanh, ánh sáng
049.07210304|Phim
049.07210402|Thiết kế công nghiệp
049.07210403|Thiết kế đồ họa
049.07210404|Thiết kế thời trang
049.07210405|Âm nhạc
049.07210406|Thiết kế mỹ thuật sân khấu, điện ảnh
049.07210407|Thiết kế kỹ thuật số
049.07210408|Nghệ thuật số
049.07210409|Thiết kế mỹ thuật số
049.07210412|Phục chế mỹ thuật
049.07210413|Giám tuyển mỹ thuật
049.07220101|Tiếng Việt và văn hoá Việt Nam
049.07220104|Hán Nôm
049.07220105|Ngôn ngữ Jrai
049.07220106|Ngôn ngữ Khmer
049.07220107|Ngôn ngữ H`mong
049.07220108|Ngôn ngữ Chăm
049.07220110|Sáng tác văn học
049.07220112|Văn hoá các dân tộc thiểu số Việt Nam
049.07220113|Ngôn ngữ và văn hóa các dân tộc thiểu số Việt Nam
049.07220201|Ngôn ngữ Anh
049.07220202|Ngôn ngữ Nga
049.07220203|Ngôn ngữ Pháp
049.07220204|Ngôn ngữ Trung Quốc
049.07220205|Ngôn ngữ Đức
049.07220206|Ngôn ngữ Tây Ban Nha
049.07220207|Ngôn ngữ Bồ Đào Nha
049.07220208|Ngôn ngữ Italia
049.07220209|Ngôn ngữ Nhật
049.07220210|Ngôn ngữ Hàn Quốc
049.07220211|Ngôn ngữ Ả rập
049.07220214|Ngôn ngữ Thái Lan
049.07229001|Triết học
049.07229008|Chủ nghĩa xã hội khoa học
049.07229009|Tôn giáo học
049.07229010|Lịch sử
049.07229020|Ngôn ngữ học
049.07229030|Văn học
049.07229040|Văn hoá học
049.07229042|Quản lý văn hoá
049.07229045|Gia đình học
049.07229047|Di sản học
049.07310101|Kinh tế
049.07310102|Kinh tế chính trị
049.07310104|Kinh tế đầu tư
049.07310105|Kinh tế phát triển
049.07310106|Kinh tế quốc tế
049.07310107|Thống kê kinh tế
049.07310108|Toán kinh tế
049.07310109|Kinh tế số
049.07310110|Quản lý kinh tế
049.07310111|Nghiên cứu phát triển
049.07310112|Kinh tế tài chính
049.07310113|Kinh tế thể thao
049.07310201|Chính trị học
049.07310202|Xây dựng Đảng và chính quyền nhà nước
049.07310205|Quản lý nhà nước
049.07310206|Quan hệ quốc tế
049.07310301|Xã hội học
049.07310302|Nhân học
049.07310399|Giới và phát triển
049.07310401|Tâm lý học
049.07310402|Tham vấn học đường
049.07310403|Tâm lý học giáo dục
049.07310501|Địa lý học
049.07310601|Quốc tế học
049.07310602|Châu Á học
049.07310607|Thái Bình Dương học
049.07310608|Đông phương học
049.07310612|Trung Quốc học
049.07310613|Nhật Bản học
049.07310614|Hàn Quốc học
049.07310620|Đông Nam Á học
049.07310630|Việt Nam học
049.07310631|Châu Á - Thái Bình Dương học
049.07310639|Châu Mỹ học
049.07310640|Hoa Kỳ học
049.07320101|Báo chí
049.07320104|Truyền thông đa phương tiện
049.07320105|Truyền thông đại chúng
049.07320106|Công nghệ truyền thông
049.07320107|Truyền thông quốc tế
049.07320108|Quan hệ công chúng
049.07320109|Truyền thông doanh nghiệp
049.07320110|Quảng cáo
049.07320111|Truyền thông số
049.07320201|Thông tin - thư viện
049.07320205|Quản lý thông tin
049.07320303|Lưu trữ học
049.07320305|Bảo tàng học
049.07320401|Xuất bản
049.07320402|Kinh doanh xuất bản phẩm
049.07329001|Công nghệ đa phương tiện
049.07340101|Quản trị kinh doanh
049.07340102|Quản trị - Luật
049.07340108|Quản lý
049.07340114|Digital Marketing
049.07340115|Marketing
049.07340116|Bất động sản
049.07340120|Kinh doanh quốc tế
049.07340121|Kinh doanh thương mại
049.07340122|Thương mại điện tử
049.07340123|Kinh doanh thời trang và dệt may
049.07340124|Quản trị và Kinh doanh quốc tế
049.07340125|Phân tích dữ liệu kinh doanh
049.07340129|Quản trị kinh doanh thực phẩm
049.07340201|Tài chính - Ngân hàng
049.07340202|Tài chính và Kế toán
049.07340203|Tài chính công
049.07340204|Bảo hiểm
049.07340205|Công nghệ tài chính
049.07340206|Tài chính quốc tế
049.07340207|Bảo hiểm - Tài chính
049.07340301|Kế toán
049.07340302|Kiểm toán
049.07340303|Kế toán, Phân tích và Kiểm toán
049.07340401|Khoa học quản lý
049.07340403|Quản lý công
049.07340404|Quản trị nhân lực
049.07340405|Hệ thống thông tin quản lý
049.07340406|Quản trị văn phòng
049.07340408|Quan hệ lao động
049.07340409|Quản lý dự án
049.07340410|Quản trị công nghệ truyền thông
049.07340411|Quản lý và phát triển nguồn nhân lực
049.07340412|Quản trị sự kiện
049.07340418|Quản lý và phát triển du lịch
049.07340420|Khoa học dữ liệu và phân tích kinh doanh
049.07349001|Quản trị thương hiệu
049.07349002|Quản lý giải trí và sự kiện
049.07380101|Luật
049.07380102|Luật hiến pháp và luật hành chính
049.07380103|Luật dân sự và tố tụng dân sự
049.07380104|Luật hình sự và tố tụng hình sự
049.07380107|Luật kinh tế
049.07380108|Luật quốc tế
049.07380109|Luật Thương mại quốc tế
049.07380110|Luật kinh doanh
049.07420101|Sinh học
049.07420201|Công nghệ sinh học
049.07420202|Kỹ thuật sinh học
049.07420203|Sinh học ứng dụng
049.07420204|Khoa học Y Sinh
049.07420205|Công nghệ sinh học y dược
049.07420207|Công nghệ thẩm mỹ
049.07420215|Công nghệ sinh dược
049.07429001|Quản trị Công nghệ sinh học
049.07429002|Sinh dược học
049.07440101|Thiên văn học
049.07440102|Vật lý học
049.07440106|Vật lý nguyên tử và hạt nhân
049.07440107|Công nghệ vật lý điện tử tin học
049.07440110|Cơ học
049.07440112|Hoá học
049.07440122|Khoa học vật liệu
049.07440201|Địa chất học
049.07440212|Bản đồ học
049.07440217|Địa lý tự nhiên
049.07440221|Biến đổi khí hậu
049.07440222|Khí tượng và khí hậu học
049.07440224|Thuỷ văn học
049.07440225|Tài nguyên và môi trường nước
049.07440228|Hải dương học
049.07440229|Quản lý và phân tích dữ liệu khoa học
049.07440230|Khoa học thông tin địa không gian
049.07440298|Biến đổi khí hậu và phát triển bền vững
049.07440299|Khí tượng thủy văn biển
049.07440301|Khoa học môi trường
049.07460101|Toán học
049.07460107|Khoa học tính toán
049.07460108|Khoa học dữ liệu
049.07460112|Toán ứng dụng
049.07460115|Toán cơ
049.07460117|Toán tin
049.07460201|Thống kê
049.07480101|Khoa học máy tính
049.07480102|Mạng máy tính và truyền thông dữ liệu
049.07480103|Kỹ thuật phần mềm
049.07480104|Hệ thống thông tin
049.07480106|Kỹ thuật máy tính
049.07480107|Trí tuệ nhân tạo
049.07480108|Công nghệ kỹ thuật máy tính
049.07480110|Máy tính và khoa học thông tin
049.07480111|Tin học và kỹ thuật máy tính
049.07480112|Khoa học dữ liệu và trí tuệ nhân tạo
049.07480113|Khoa học máy tính và thông tin
049.07480118|Hệ thống nhúng và IoT
049.07480201|Công nghệ thông tin
049.07480202|An toàn thông tin
049.07480203|Kỹ thuật dữ liệu
049.07480204|Khoa học và Kỹ thuật máy tính
049.07480205|Trí tuệ nhân tạo và Khoa học dữ liệu
049.07480206|Địa tin học
049.07480207|Trí tuệ nhân tạo
049.07480208|An ninh mạng
049.07480209|Công nghệ tài chính và kinh doanh số
049.07480210|Công nghệ thông tin ứng dụng
049.07480298|Khoa học dữ liệu
049.07489001|Công nghệ đổi mới sáng tạo
049.07510101|Công nghệ kỹ thuật kiến trúc
049.07510102|Công nghệ kỹ thuật công trình xây dựng
049.07510103|Công nghệ kỹ thuật xây dựng
049.07510104|Công nghệ kỹ thuật giao thông
049.07510105|Công nghệ kỹ thuật vật liệu xây dựng
049.07510106|Hệ thống kỹ thuật công trình xây dựng
049.07510201|Công nghệ kỹ thuật cơ khí
049.07510202|Công nghệ chế tạo máy
049.07510203|Công nghệ kỹ thuật cơ - điện tử
049.07510205|Công nghệ kỹ thuật ô tô
049.07510206|Công nghệ kỹ thuật nhiệt
049.07510207|Công nghệ kỹ thuật tàu thủy
049.07510208|Năng lượng tái tạo
049.07510209|Robot và trí tuệ nhân tạo
049.07510210|Điện lạnh và điều hòa không khí
049.07510211|Bảo dưỡng công nghiệp
049.07510212|Công nghệ ô tô và giao thông thông minh
049.07510300|Công nghệ kỹ thuật điện tử - tin học công nghiệp
049.07510301|Công nghệ kỹ thuật điện, điện tử
049.07510302|Công nghệ kỹ thuật điện tử – viễn thông
049.07510303|Công nghệ kỹ thuật điều khiển và tự động hoá
049.07510304|IOT và Trí tuệ nhân tạo ứng dụng
049.07510306|Tự động hóa và tin học
049.07510401|Công nghệ kỹ thuật hóa học
049.07510402|Công nghệ vật liệu
049.07510403|Công nghệ kỹ thuật năng lượng
049.07510404|Kỹ thuật hoá phân tích
049.07510406|Công nghệ kỹ thuật môi trường
049.07510407|Công nghệ kỹ thuật hạt nhân
049.07510410|Công nghệ quan trắc và giám sát tài nguyên môi trường
049.07510601|Quản lý công nghiệp
049.07510602|Quản lý năng lượng
049.07510604|Kinh tế công nghiệp
049.07510605|Logistics và quản lý chuỗi cung ứng
049.07510606|Quản trị môi trường Doanh nghiệp
049.07510701|Công nghệ dầu khí và khai thác dầu
049.07510801|Công nghệ kỹ thuật in
049.07519001|Công nghệ hàng không vũ trụ
049.07519002|Công nghệ nông nghiệp
049.07519003|Công nghệ kỹ thuật khuôn mẫu
049.07519004|Thiết kế cơ khí và kiểu dáng công nghiệp
049.07519005|Công nghệ kỹ thuật cơ điện tử ô tô
049.07519007|Công nghệ Kỹ thuật năng lượng tái tạo
049.07520101|Cơ kỹ thuật
049.07520103|Kỹ thuật cơ khí
049.07520107|Kỹ thuật Robot
049.07520114|Kỹ thuật cơ điện tử
049.07520115|Kỹ thuật nhiệt
049.07520116|Kỹ thuật cơ khí động lực
049.07520117|Kỹ thuật công nghiệp
049.07520118|Kỹ thuật hệ thống công nghiệp
049.07520119|Kỹ thuật cơ điện tử thông minh và robot
049.07520120|Kỹ thuật hàng không
049.07520121|Kỹ thuật không gian
049.07520122|Kỹ thuật tàu thuỷ
049.07520123|Khoa học Vũ trụ và Công nghệ vệ tinh
049.07520130|Kỹ thuật ô tô
049.07520137|Kỹ thuật In
049.07520138|Kỹ thuật hàng hải
049.07520139|Kỹ thuật hệ thống công nghiệp và logistics
049.07520141|Công nghệ ô tô điện
049.07520201|Kỹ thuật điện
049.07520202|Thiết kế vi mạch
049.07520204|Kỹ thuật ra đa - dẫn đường
049.07520205|Kỹ thuật thuỷ âm
049.07520206|Kỹ thuật biển
049.07520207|Kỹ thuật điện tử - viễn thông
049.07520208|Công nghệ internet vạn vật (IoT)
049.07520209|Truyền thông số và Kỹ thuật đa phương tiện
049.07520210|Kỹ thuật điện tử và tin học
049.07520212|Kỹ thuật y sinh
049.07520215|Kỹ thuật điện, điện tử
049.07520216|Kỹ thuật điều khiển và tự động hoá
049.07520217|Kỹ thuật Robot
049.07520218|Kỹ thuật Robot và Trí tuệ nhân tạo
049.07520219|Hệ thống giao thông thông minh
049.07520220|Kỹ thuật thiết kế vi mạch
049.07520301|Kỹ thuật hoá học
049.07520309|Kỹ thuật vật liệu
049.07520310|Kỹ thuật vật liệu kim loại
049.07520311|Kỹ thuật hóa phân tích
049.07520312|Kỹ thuật dệt
049.07520320|Kỹ thuật môi trường
049.07520401|Vật lý kỹ thuật
049.07520402|Kỹ thuật hạt nhân
049.07520403|Vật lý y khoa, khối ngành
049.07520406|Kỹ thuật năng lượng
049.07520408|Công nghệ bán dẫn
049.07520501|Kỹ thuật địa chất
049.07520502|Kỹ thuật địa vật lý
049.07520503|Kỹ thuật trắc địa - bản đồ
049.07520505|Đá quý Đá mỹ nghệ
049.07520601|Kỹ thuật mỏ
049.07520602|Kỹ thuật thăm dò và khảo sát
049.07520604|Kỹ thuật dầu khí
049.07520605|Kỹ thuật khí thiên nhiên
049.07520606|Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên
049.07520607|Kỹ thuật tuyển khoáng
049.07529001|Kỹ thuật biển
049.07540101|Công nghệ thực phẩm
049.07540102|Kỹ thuật thực phẩm
049.07540103|Công nghệ hóa thực phẩm
049.07540104|Công nghệ sau thu hoạch
049.07540105|Công nghệ chế biến thuỷ sản
049.07540106|Đảm bảo chất lượng và an toàn thực phẩm
049.07540108|Công nghệ và kinh doanh thực phẩm
049.07540110|Khoa học và công nghệ thực phẩm
049.07540202|Công nghệ sợi, dệt
049.07540203|Công nghệ vật liệu dệt, may
049.07540204|Công nghệ dệt, may
049.07540206|Công nghệ da giày
049.07540209|Công nghệ may
049.07549001|Công nghệ chế biến lâm sản
049.07549002|Kỹ nghệ gỗ và nội thất
049.07580101|Kiến trúc
049.07580102|Kiến trúc cảnh quan
049.07580103|Kiến trúc nội thất
049.07580104|Kiến trúc đô thị
049.07580105|Quy hoạch vùng và đô thị
049.07580106|Quản lý đô thị và công trình
049.07580107|Quản lý đô thị
049.07580108|Thiết kế nội thất
049.07580109|Quản lý phát triển đô thị và bất động sản
049.07580110|Thiết kế đô thị
049.07580111|Bảo tồn di sản kiến trúc - đô thị
049.07580112|Đô thị học
049.07580201|Kỹ thuật xây dựng
049.07580202|Kỹ thuật xây dựng công trình thủy
049.07580203|Kỹ thuật xây dựng công trình biển
049.07580204|Xây dựng công trình ngầm thành phố và Hệ thống tàu điện ngầm
049.07580205|Kỹ thuật xây dựng công trình giao thông
049.07580210|Kỹ thuật cơ sở hạ tầng
049.07580211|Địa kỹ thuật xây dựng
049.07580212|Kỹ thuật tài nguyên nước
049.07580213|Kỹ thuật cấp thoát nước
049.07580215|Kỹ thuật an toàn giao thông
049.07580301|Kinh tế xây dựng
049.07580302|Quản lý xây dựng
049.07589001|Thiết kế xanh
049.07620101|Nông nghiệp
049.07620102|Khuyến nông
049.07620103|Khoa học đất
049.07620105|Chăn nuôi
049.07620106|Chăn nuôi thú y
049.07620108|Phân bón và dinh dưỡng cây trồng
049.07620109|Nông học
049.07620110|Khoa học cây trồng
049.07620112|Bảo vệ thực vật
049.07620113|Công nghệ rau hoa quả và cảnh quan
049.07620114|Kinh doanh nông nghiệp
049.07620115|Kinh tế nông nghiệp
049.07620116|Phát triển nông thôn
049.07620118|Nông nghiệp công nghệ cao
049.07620119|Kinh doanh và Khởi nghiệp Nông thôn
049.07620122|Nông nghiệp thông minh và bền vững
049.07620190|Công nghệ nông nghiệp số
049.07620191|Kinh doanh nông nghiệp số
049.07620201|Lâm học
049.07620202|Lâm nghiệp đô thị
049.07620205|Lâm sinh
049.07620210|Lâm nghiệp
049.07620211|Quản lý tài nguyên rừng
049.07620301|Nuôi trồng thuỷ sản
049.07620302|Bệnh học thủy sản
049.07620303|Khoa học thủy sản
049.07620304|Khai thác thuỷ sản
049.07620305|Quản lý thủy sản
049.07640101|Thú y
049.07720101|Y khoa
049.07720110|Y học dự phòng
049.07720115|Y học cổ truyền
049.07720201|Dược học
049.07720202|Công nghệ dược phẩm
049.07720203|Hoá dược
049.07720301|Điều dưỡng
049.07720302|Hộ sinh
049.07720399|Dụng cụ chỉnh hình chân tay giả
049.07720401|Dinh dưỡng
049.07720402|Dinh dưỡng và khoa học thực phẩm
049.07720501|Răng - Hàm - Mặt
049.07720502|Kỹ thuật phục hình răng
049.07720601|Kỹ thuật xét nghiệm y học
049.07720602|Kỹ thuật hình ảnh y học
049.07720603|Kỹ thuật phục hồi chức năng
049.07720604|Vật lý trị liệu
049.07720605|Hoạt động trị liệu
049.07720606|Ngôn ngữ trị liệu
049.07720607|Kỹ thuật y học thể dục thể thao
049.07720608|Dụng cụ chỉnh hình chân tay giả
049.07720609|Khúc xạ nhãn khoa
049.07720610|Kỹ thuật gây mê hồi sức
049.07720699|Khúc xạ nhãn khoa
049.07720701|Y tế công cộng
049.07720801|Tổ chức và quản lý y tế
049.07720802|Quản lý bệnh viện
049.07729001|Y sinh học thể dục thể thao
049.07760101|Công tác xã hội
049.07760102|Công tác thanh thiếu niên
049.07760103|Hỗ trợ giáo dục người khuyết tật
049.07760104|Dân số và phát triển
049.07810101|Du lịch
049.07810102|Du lịch điện tử
049.07810103|Quản trị dịch vụ du lịch và lữ hành
049.07810104|Quản trị du lịch và khách sạn
049.07810105|Du lịch địa chất
049.07810106|Du lịch văn hóa
049.07810201|Quản trị khách sạn
049.07810202|Quản trị nhà hàng và Dịch vụ ăn uống
049.07810203|Quản trị Khách sạn - Nhà hàng
049.07810204|Quản lý Du lịch Quốc tế (CTTT)
049.07810301|Quản lý thể dục thể thao
049.07810302|Huấn luyện thể thao
049.07810303|Golf
049.07810501|Kinh tế gia đình
049.07810502|Kỹ thuật nữ công
049.07819009|Khoa học dinh dưỡng và ẩm thực
049.07819010|Khoa học chế biến món ăn
049.07840101|Khai thác vận tải
049.07840102|Quản lý hoạt động bay
049.07840104|Kinh tế vận tải
049.07840106|Khoa học hàng hải
049.07840110|Quản lý và vận hành hạ tầng
049.07850101|Quản lý tài nguyên và môi trường
049.07850102|Kinh tế tài nguyên thiên nhiên
049.07850103|Quản lý đất đai
049.07850104|Du lịch sinh thái
049.07850105|Quản lý an toàn, sức khỏe và môi trường
049.07850106|Quản lý tài nguyên thiên nhiên
049.07850110|Quản lý phát triển đô thị và bất động sản
049.07850118|Quản lý bất động sản
